"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/05/2020 19:04:30:483 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"13","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2634","0","0","0","0","0","1.75","3.04","0","95.21","1.75","9696","175","9521","60.07"
"19","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2549","0","0","0","0","0","1.74","3.57","0","94.69","1.74","9643","174","9469","58.19"
"16","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2849","0","0","0","0","0","1.52","5.84","0","92.64","1.52","9416","152","9264","56.91"
"15","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2954","0","0","0","0","0","1.55","3.56","0","94.89","1.55","9644","155","9489","55.96"
"18","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2939","0","0","0","0","0","1.67","2.57","0","95.76","1.67","9743","167","9576","58.95"
"21","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2858","0","0","0","0","0","1.62","3.77","0","94.61","1.62","9623","162","9461","58.4"
"20","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2890","0","0","0","0","0","1.85","3.93","0","94.22","1.85","9607","185","9422","58.36"
"14","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3282","0","0","0","0","0","1.75","3.61","0","94.64","1.75","9639","175","9464","58.15"
"22","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3083","0","0","0","0","0","1.44","3.51","0","95.05","1.44","9649","144","9505","60.06"
"24","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2790","0","0","0","0","0","1.47","4.84","0","93.69","1.47","9516","147","9369","59.52"
"23","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3640","0","0","0","0","0","1.77","4.04","0","94.19","1.77","9596","177","9419","52.14"
"17","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","25","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","4774","0","0","0","0","0","1.68","3.26","0","95.06","1.68","9674","168","9506","59.66"
"26","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","50","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2684","0","0","0","0","0","1.56","7.09","0","91.35","1.56","9291","156","9135","57.43"
"29","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","50","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2900","0","0","0","0","0","1.56","5.6","0","92.84","1.56","9440","156","9284","60.44"
"32","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","50","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","2784","0","0","0","0","0","1.64","4.69","0","93.67","1.64","9531","164","9367","58.22"
"28","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","false","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","7","0","1000","100","5.88","0","1000","0","50","1000","0","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","3154","0","0","0","0","0","1.64","6.73","0","91.63","1.64","9327","164","9163","54.79"
