"BehaviorSpace results (NetLogo 6.1.1)"
"Dissertation 10k.nlogo"
"experiment"
"08/09/2020 21:32:44:358 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","critically_ill_80+","confine_city_travel?","critically_ill_70-79","infection_duration_avg","fatality_rate_40-49","pop_0-9","metres_per_patch","critically_ill_10-19","pop_60-69","days_before_symptom_showing","mask_penetration_particles","critically_ill_20-29","fatality_rate_70-79","critically_ill_40-49","Total_lockdown?","fatality_rate_10-19","pop_30-39","maximum_infectious_distance","Cities","critically_ill_50-59","fatality_rate_20-29","Weather_conditions","pop_40-49","fatality_rate_80+","Afford_healthcare","critically_ill_0-9","lockdown_delay","social_distancing_metres","pop_80+","infectivity","fatality_rate_50-59","hospital_beds","pop_70-79","Essential_workers","symptomatic_isolation_rate","pop_10-19","use_mask_pop","fatality_rate_60-69","Intracity_traveller","critically_ill_30-39","random_seed_number","pop_20-29","critically_ill_60-69","fatality_rate_30-39","fatality_rate_0-9","pop_50-59","initial_infected_proportion","[step]","100 * count humans with [infected?] / total_population","100 * count humans with [infected? and not feel_symptoms?] / total_population","100 * count humans with [infected? and feel_symptoms?] / total_population","100 * count humans with [light_symptoms?] / total_population","100 * count humans with [severe_symptoms?] / total_population","100 * cumulative_death / total_population","100 * (count humans with [not infected? and not infected_previously?]) / total_population","100 * (count humans with [color = yellow] + count humans with [color = orange]) / total_population","100 * (count humans with [color = turquoise]) / total_population","100 * (cumulative_death) / total_population","cumulative_infected","cumulative_death","count humans with [not infected? and infected_previously?]","max pop_infected_daily"
"18","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1235","0","0","0","0","0","0.04","94.09","0","5.87","0.04","591","4","587","5.48"
"13","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1578","0","0","0","0","0","0.06","93.25","0","6.69","0.06","675","6","669","6.03"
"16","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1390","0","0","0","0","0","0.1","94.11","0","5.79","0.1","589","10","579","5.27"
"20","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1293","0","0","0","0","0","0.12","94.61","0","5.27","0.12","539","12","527","5"
"17","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1536","0","0","0","0","0","0.07","94.93","0","5","0.07","507","7","500","4.64"
"14","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1749","0","0","0","0","0","0.08","93.39","0","6.53","0.08","661","8","653","5.93"
"22","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1451","0","0","0","0","0","0.11","94.28","0","5.61","0.11","572","11","561","5.21"
"15","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1910","0","0","0","0","0","0.13","94.06","0","5.81","0.13","594","13","581","5.6"
"21","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1711","0","0","0","0","0","0.07","94.6","0","5.33","0.07","540","7","533","4.84"
"24","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1525","0","0","0","0","0","0.16","93.21","0","6.63","0.16","679","16","663","6.12"
"19","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1715","0","0","0","0","0","0.19","93.35","0","6.46","0.19","665","19","646","6.06"
"23","27.3","false","24.3","21","3.06","1000","40","0.3","1000","3","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1867","0","0","0","0","0","0.14","93.78","0","6.08","0.14","622","14","608","5.54"
"28","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1664","0","0","0","0","0","0.27","87","0","12.73","0.27","1300","27","1273","9.91"
"25","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1870","0","0","0","0","0","0.27","85.11","0","14.62","0.27","1489","27","1462","11.87"
"29","27.3","false","24.3","21","3.06","1000","40","0.3","1000","6","56","1.2","20.99","4.9","true","2","1000","2","16","10.2","2.5","Cold + Humid","2000","34.07","100","0.1","14","1.5","1000","100","5.88","0","1000","10","90","1000","50","13.25","0","3.2","1","1000","16.6","2.5","2","1000","1","1746","0","0","0","0","0","0.18","85.02","0","14.8","0.18","1498","18","1480","11.34"
